DRG_Cd,DRG_Desc,HH_Cases,HH_%,ESC_Cases,ESC_%,Nat_Cases,Nat_%,Diff_vs_Nat_%,Diff_vs_ESC_%,Ratio_vs_Nat
165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,13.0,0.14115092290988057,295.0,0.09461223416367595,4444,0.0897328026094396,0.051418120300440975,0.04653868874620462,1.5730136450127097
166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,14.0,0.15200868621064062,262.0,0.08402849271485796,2937,0.059303609645347456,0.09270507656529317,0.06798019349578266,2.563228227079195
175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,46.0,0.499457111834962,1254.0,0.4021821750550836,21716,0.43848729555953875,0.06096981627542325,0.09727493677987842,1.139045798801586
176,PULMONARY EMBOLISM WITHOUT MCC,34.0,0.3691639522258415,621.0,0.19916677090048396,9457,0.19095479619205,0.17820915603379148,0.16999718132535752,1.9332531027634425
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,200.0,2.1715526601520088,8918.0,2.8601759466836008,141351,2.854145225393091,-0.682592565241082,-0.688623286531592,0.7608416841693572
178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,94.0,1.020629750271444,1285.0,0.41212447762821564,26447,0.5340151734050065,0.4866145768664376,0.6085052726432285,1.9112373600990933
179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,13.0,0.14115092290988057,42.0,0.013470216389404712,953,0.019242880487577843,0.12190804242230273,0.12768070652047586,7.3352283719165605
180,RESPIRATORY NEOPLASMS WITH MCC,22.0,0.23887079261672098,420.0,0.13470216389404713,8157,0.1647053264818179,0.07416546613490307,0.10416862872267385,1.450291849809061
181,RESPIRATORY NEOPLASMS WITH CC,13.0,0.14115092290988057,55.0,0.017639569081363313,699,0.01411413794419403,0.12703678496568654,0.12351135382851726,10.000676163714568
184,MAJOR CHEST TRAUMA WITH CC,13.0,0.14115092290988057,261.0,0.083707773277015,6265,0.12650225210354163,0.014648670806338943,0.05744314963286558,1.1157977076514738
189,PULMONARY EDEMA AND RESPIRATORY FAILURE,63.0,0.6840390879478827,5867.0,1.8816609418247012,89991,1.8170892528411517,-1.1330501648932692,-1.1976218538768184,0.37644770991757154
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,51.0,0.5537459283387622,3887.0,1.2466364548956217,49661,1.0027499348306435,-0.4490040064918812,-0.6928905265568595,0.5522273391444155
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,51.0,0.5537459283387622,698.0,0.22386216761439262,11485,0.23190396894001208,0.32184195939875015,0.32988376072436965,2.3878242829125655
193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,108.0,1.1726384364820848,9971.0,3.1978935147322476,136649,2.759202912641159,-1.586564476159074,-2.025255078250163,0.4249917362400919
194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,86.0,0.9337676438653637,3029.0,0.9714591772263541,41948,0.8470098118498587,0.08675783201550502,-0.037691533360990404,1.1024283671826978
195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,17.0,0.18458197611292074,138.0,0.04425928242232977,1837,0.03709251989053567,0.14748945622238507,0.14032269369059097,4.976258735120815
196,INTERSTITIAL LUNG DISEASE WITH MCC,17.0,0.18458197611292074,239.0,0.07665194564446967,3667,0.07404369648263164,0.1105382796302891,0.10793003046845107,2.4928790009318074
